SKU,Nombre,Precio,Existencias,Costo,Proveedor,Status,Vencimiento,CategoriaPrincipal,Subcategoria,UnidadMedida
N221,Primer Top Face Rellena & Refresca, 13.00,648.0, 11.00,VB,Active,2025-12-01,Maquillaje,Primers de maquillaje,24
N220,Base Liquida Detoxificar Y Proteger Note, 13.00,408.0, 11.00,VB,Active,2027-06-01,Maquillaje,Base de maquillaje,24
0455,Base Liquida Skinwera Efecto Mate Larga Duracion Top Face, 13.00,408.0, 11.00,VB,Active,2026-01-01,Maquillaje,Base de maquillaje,24
CL814,Corrector Scanlon Alta Cobertura, 16.00,288.0, 13.00,VB,Active,2026-01-01,Maquillaje,Corrector,24
M23-157,Mascara De Pestañas Million Pauline Sube El Volumen, 19.00,24.0, 16.00,VB,Active,2026-10-01,Maquillaje,Mascara,24
DS335-2,Crema Depiladora Disaar 100g 5 Minutos, 42.00,24.0, 35.00,VB,Inactive,2028-07-01,Cuidado personal,Crema depiladora,12
DS335-1,Crema Depiladora Disaar 100g 3 Minutos, 42.00,24.0, 35.00,VB,Inactive,2028-07-01,Cuidado personal,Crema depiladora,12
DS5261,Tónico Facial Hidratante Disaar 200ml, 48.00,19.0, 40.00,VB,Active,2028-09-01,Maquillaje,Tonico facial,12
AC3142,Tonico Facial de Arroz Aichum Beauty Nutre Y Aclara 100ml, 42.00,47.0, 35.00,VB,Active,2028-07-01,Maquillaje,Tonico facial,12
AC3141,Contorno De Ojos Hidratante Y Aclarante De Arroz Aichun Beauty 25ml, 33.00,84.0, 28.00,VB,Active,2027-12-01,Maquillaje,Contorno de ojos,12
AC3120,Limpiador Facial Arroz Natural Aichum Beauty Nutre La Piel 100ml, 48.00,0.0, 40.00,VB,Inactive,2028-07-01,Maquillaje,Desmaquillante ó Limpiador facial,12
GJ7169,Set Skin Care Acido Kojic 5 Pcs, 283.00,3.0, 240.00,VB,Active,2028-06-01,Cuidado personal,Set skincare,6
161-014,Cosmetiquera #014, 53.00,0.0, 45.00,VB,Active,2029-01-01,Maquillaje,Cosmetiquera,12
