SKU;Nombre;Precio;Existencias;Costo;Proveedor;Status;Vencimiento
0455;Base Liquida Skinwera Efecto Mate Larga Duracion Top Face;NIO 12.94;480;NIO 11.00;VB;Active;2026-01-01
0457;Base Liquida Acabado Radiante Y Humectante Top Face;NIO 12.94;216;NIO 11.00;VB;Active;2027-08-01
046-U218570;Mascarilla Charcoal Beauty Formulas 100ml;NIO 65.00;693;NIO 59.00;Mayz;Active;2025-06-01
046-U325127;Parches de Gel Para Ojos Carbón Beauty Formula 6UND;NIO 78.82;128;NIO 67.00;Mayz;Active;2025-12-01
046-U401232;Crema Facial Hidratante de Dia Vit C Beauty Formulas 100ml;NIO 78.82;756;NIO 67.00;Mayz;Active;2025-12-01
046-U401240;Tónico Facial Vit C Beauty Formula 150ml;NIO 81.18;423;NIO 69.00;Mayz;Active;2026-01-01
046-U423020;Limpiador Facial Vit C Beauty Formula 150ml;NIO 81.18;168;NIO 69.00;Mayz;Active;2026-01-01
0460;Primer Top Face Para Pieles Secas Rellena & Refresca;NIO 12.94;720;NIO 11.00;VB;Active;2027-07-01
123;Bálsamo Para Labios Cute Fruit;NIO 12.94;960;NIO 11.00;VB;Active;2026-03-01
161-003;Toallas Humedas 25pcs;NIO 16.47;205;NIO 14.00;VB;Active;2026-07-01
161-008;Rizador De Pestaña Princess Art;NIO 25.88;160;NIO 22.00;VB;Active;2029-01-01
161-009;Cosmetiquera;NIO 58.82;39;NIO 50.00;VB;Active;2029-01-01
161-014;Cosmetiquera #014;NIO 52.94;38;NIO 45.00;VB;Active;2029-01-01
161-015;Cosmetiquera #015;NIO 52.94;155;NIO 45.00;VB;Active;2029-01-01
161-0462;Base Alta Cobertura Reducción De Poros;NIO 21.18;528;NIO 18.00;VB;Active;2026-08-01
161-065;Primer para rostro Kaliya Beauty Vitamina C;NIO 12.94;405;NIO 11.00;VB;Active;2028-08-01
161-095;Primer para rostro Kaliya Beauty Alta adherencia;NIO 12.94;1152;NIO 11.00;VB;Active;2028-08-01
161-3020;Primer para rostro Kaliya Beauty Aloe 16H;NIO 12.94;1335;NIO 11.00;VB;Active;2028-08-01
161-3024;Primer para rostro Kaliya Beauty Acabado húmedo definitivo;NIO 12.94;1248;NIO 11.00;VB;Active;2028-08-01
161-Bigpuff;Insecticida Big Puff;NIO 135.00;480;NIO 115.00;AjSiles;Inactive;
161-SHVD1LTARG;Shampoo & Acondicionador Vida 1000ml Argan;NIO 279.00;1518;NIO 279.00;;Active;2027-06-25
161-SHVD1LTGR;Shampoo & Acondicionador Vida 1000ml Ginger;NIO 279.00;1506;NIO 279.00;;Active;2027-06-25
161-SHVD1LTKT;Shampoo & Acondicionador Vida 1000ml Keratina;NIO 279.00;1518;NIO 279.00;;Active;2027-06-25
161-SHVD1LTM;Shampoo & Acondicionador Vida 1000ml Menta;NIO 279.00;1518;NIO 279.00;;Active;2027-06-24
161-SHVD500ARG;Shampoo & Acondicionador Vida 500ml Argan;NIO 169.00;2685;NIO 169.00;;Active;2027-06-25
161-SHVD500GR;Shampoo & Acondicionador Vida 500ml Ginger;NIO 169.00;2679;NIO 169.00;;Active;2027-06-25
161-SHVD500KT;Shampoo & Acondicionador Vida 500ml Keratina;NIO 169.00;2691;NIO 169.00;;Active;2027-06-25
161-SHVD500M;Shampoo & Acondicionador Vida 500ml Menta;NIO 169.00;2673;NIO 169.00;;Active;2027-06-24
161-SHVDT500CN;Shampoo Tinte VIDA Castaño Natural 500ml;NIO 129.00;10008;NIO 129.00;;Active;2027-06-25
161-SHVDT500CO;Shampoo Tinte VIDA Castaño Oscuro 500ml;NIO 129.00;10007;NIO 129.00;;Active;2027-06-25
161-SHVDT500N;Shampoo Tinte VIDA Negro 500ml;NIO 129.00;20063;NIO 129.00;;Active;2027-06-25
161-TRVD500ARG;Tratamiento VIDA 500ml Argan;NIO 129.00;1362;NIO 129.00;;Active;2027-06-25
161-TRVD500GR;Tratamiento VIDA 500ml Ginger;NIO 129.00;1368;NIO 129.00;;Active;2027-06-25
161-TRVD500KT;Tratamiento VIDA 500ml Keratina;NIO 129.00;1368;NIO 129.00;;Active;2027-06-25
161-TRVD500M;Tratamiento VIDA 500ml Menta;NIO 129.00;1362;NIO 129.00;;Active;2027-06-25
1721N-B;Polvo Compacto Note Worthy 1721N-B;NIO 28.24;672;NIO 24.00;VB;Active;2027-12-01
18-313;Esponja Para Cocina 5pcs 18-313;NIO 15.73;142;NIO 14.00;Stay;Inactive;2029-01-01
1808W;Brocha Individual Shadow Brush;NIO 14.12;666;NIO 12.00;VB;Active;2029-01-01
2056;Primer 24k Rose Silver Kaliya Beauty;NIO 12.94;624;NIO 11.00;VB;Active;2028-08-01
2075;Base Beauty City BB cream;NIO 61.18;131;NIO 52.00;VB;Active;2027-10-01
2118N-A;Polvo compacto Note Worthy Glitter Story;NIO 28.24;695;NIO 24.00;VB;Active;2027-12-01
21261VS-C;Rubor 2 en 1 Sombra y Rubor;NIO 14.12;384;NIO 12.00;VB;Active;2026-01-01
2188VS;Polvo Suelto Viktorisa Sempre;NIO 29.41;948;NIO 25.00;VB;Active;2026-12-01
2280-47;Fijador De Maquillaje Karité Aloe Vera Control de aceite y refrescante;NIO 44.71;11;NIO 38.00;VB;Inactive;2028-03-22
23526;Mascara Pestañas y Cejas KIKO;NIO 14.12;264;NIO 12.00;VB;Active;2026-01-01
2368-47;Fijador De Maquillaje Kiss beauty Antioxidante & Control de grasa;NIO 56.47;14;NIO 48.00;VB;Inactive;
2377-47A;Limpiador Facial Karité 150ml Aloe;NIO 70.59;288;NIO 60.00;VB;Active;2028-06-01
2377-47B;Limpiador Facial Karité 150ml Rosas;NIO 70.59;348;NIO 60.00;VB;Active;2028-06-01
2377-47C;Limpiador Facial Karité 150ml Vitamin E;NIO 70.59;359;NIO 60.00;VB;Active;2028-06-01
2929-03;Bálsamo Labial Aloe Kiss Beauty;NIO 10.35;36;NIO 8.80;VB;Inactive;2028-12-01
2950-47ABCDEF;Bálsamo Labial de Karité;NIO 11.76;528;NIO 10.00;VB;Active;2028-03-01
30640;Esponja De Silicona Delicate;NIO 17.65;336;NIO 15.00;Mayz;Inactive;2029-01-01
35002-1;Lapiz Labial Mate Beauty Model Matte 35002-1;NIO 12.94;978;NIO 11.00;VB;Active;2027-06-01
35006;Lapiz labial Matte Beauty Model;NIO 12.94;312;NIO 11.00;VB;Active;2028-06-01
35008-1;Lapiz Labial Mate Beauty Model Matte 35008-1;NIO 12.94;666;NIO 11.00;VB;Active;2027-09-01
35010;Lápiz Labial Mate Beauty Model Matte 35010;NIO 12.94;768;NIO 11.00;VB;Active;2027-07-01
36380-47;Labial Matte Karité;NIO 17.65;1368;NIO 15.00;VB;Active;2028-04-01
5323;Lápiz Labial Huda Beauty Matte 5323;NIO 14.12;617;NIO 12.00;VB;Active;2026-01-01
5338;Lápiz Labial CHANLANYA Matte 5338;NIO 14.12;960;NIO 12.00;VB;Active;2026-01-01
5360;Lápiz Labial CHANLANYA Matte 5360;NIO 14.12;312;NIO 12.00;VB;Active;2026-01-01
5389;Labial Matte Chanlanya;NIO 18.00;192;NIO 14.05;BISUTERIA;Active;2028-01-01
5513;Lápiz Labial CHANLANYA Matte 5513;NIO 14.12;1200;NIO 12.00;VB;Active;2027-01-01
56821-03;Máscara gel para ceja 3D Kiss Beauty;NIO 31.75;24;NIO 27.00;VB;Active;2028-01-01
56839-03;Gel Para Cejas Invisible;NIO 23.53;227;NIO 20.00;VB;Active;2028-06-01
56853-47;Mascara pestaña Karite 56853-47;NIO 25.88;144;NIO 22.00;VB;Active;2027-11-01
56939-03HA;Gel de cejas con Ácido Hialurónico;NIO 21.18;432;NIO 18.00;VB;Active;2028-04-01
