ITEM_ID,SKU (Código de artículo),Nombre,Existencias a mano,Tarifa de compra,Tasa,Fecha de vencimiento,Fabricante
5467547000000343240,S35-005,Locion Corporal Aloe Vera 532ml,81,NIO54.00,NIO78.00,01 ene 2026,Stay
5467547000000308512,B0025-BV,Loción Corporal Pink in Sweet 88g,69,NIO25.00,NIO29.41,,VB
5467547000000308609,B0025-ELF,Loción Corporal Pink in Sweet 88g,48,NIO25.00,NIO29.41,01 mar 2026,VB
5467547000000343046,WA-009,Locion Refrescante After Shave P/Hombre 8 Onzas,26,NIO44.00,NIO39.00,01 nov 2023,Stay
5467547000000331988,GJ7182,Locion Retinol 100g,20,NIO50.00,NIO58.82,01 may 2028,VB
5467547000000289688,M2227,Mascara a prueba de agua 4D Romantiic,216,NIO17.13,NIO22.00,01 oct 2028,BISUTERIA
5467547000000325198,ST3816A,Mascara Anthaway transparente azul,"2,496",NIO8.00,NIO9.41,01 abr 2028,VB
5467547000000325295,ST3817R,Mascara Anthaway transparente rosado,"3,600",NIO8.00,NIO9.41,01 abr 2028,VB
5467547000000341688,WA-221,Mascara de Pestaña Azul WAO! 24H,120,NIO35.00,NIO29.00,22 mar 2024,Stay
5467547000000341785,S8-1005,Mascara de Pestaña Stay 2 En 1,575,NIO37.00,NIO41.57,01 dic 2026,Stay
5467547000000329563,8294,Mascara de Pestañas 24H Sky High,839,NIO16.00,NIO18.82,01 dic 2025,VB
5467547000000328399,M0273,Mascara de Pestañas 7D Million Pauline,428,NIO21.00,NIO24.71,01 jun 2026,VB
5467547000000311713,M23-157,Mascara De Pestañas Million Pauline Sube El Volumen,168,NIO16.00,NIO18.82,01 oct 2026,VB
5467547000000329175,M23-48,Mascara de Pestañas Sky High,"1,032",NIO23.00,NIO27.06,01 abr 2026,VB
5467547000000287748,E2231,Mascara Delineador Volumen Rizado,140,NIO16.69,NIO21.00,01 ene 2029,BISUTERIA
5467547000000294059,56821-03,Máscara gel para ceja 3D Kiss Beauty,24,NIO27.00,NIO31.75,01 ene 2028,VB
5467547000000286196,CM-072,Mascara hidratante para pechos Chovemoar,120,NIO7.03,NIO9.00,01 ago 2026,BISUTERIA
5467547000000321318,M22-81,Mascara Million Pauline Ma XXL,"1,260",NIO24.00,NIO28.24,01 abr 2026,VB
5467547000000321221,M23-36,Mascara Million Pauline Refresca y revive,"1,255",NIO24.00,NIO28.24,01 may 2026,VB
5467547000000336159,M610,Mascara Para Pestañas,936,NIO13.00,NIO15.29,26 ene 2029,VB
5467547000000336935,56964-47,Mascara Para Pestañas Transparente,180,NIO22.00,NIO25.88,01 jul 2028,VB
5467547000000308900,LC1310,Mascara para pestañas y cejas en gel con Acido Hialuronico Magic,405,NIO11.00,NIO12.94,01 nov 2028,VB
5467547000000328981,8243,Mascara Para Pies,36,NIO30.00,NIO35.29,01 dic 2025,VB
5467547000000315886,56853-47,Mascara pestaña Karite 56853-47,144,NIO22.00,NIO25.88,01 nov 2027,VB
5467547000000295417,JH8010,Mascara Pestañas Essence,264,NIO12.00,NIO14.12,01 abr 2026,VB
5467547000000295320,23526,Mascara Pestañas y Cejas KIKO,264,NIO12.00,NIO14.12,01 ene 2026,VB
5467547000000324131,S7-001,Mascara Stay transparente en gel,432,NIO29.00,NIO32.58,01 may 2026,Stay
5467547000000324034,S6-1363,Mascara Stay ultra volumen,240,NIO31.00,NIO34.83,01 dic 2025,Stay
5467547000000285899,WA-046,"Mascara Wao! Delineador, Mascara y Lapiz de ceja",188,NIO58.00,NIO69.00,01 dic 2025,Stay
5467547000000338681,046-U218570,Mascarilla Charcoal Beauty Formulas 100ml,693,NIO59.00,NIO65.00,01 jun 2025,Mayz
5467547000000342949,S18-003,Mascarilla Facial De Aguacate Stay,999,NIO17.00,NIO20.00,01 jul 2024,Stay
5467547000000342852,S18-001,Mascarilla Facial De Aloe Vera Stay,431,NIO17.00,NIO20.00,01 jul 2024,Stay
5467547000000342755,S18-002,Mascarilla Facial De Pepino Stay,438,NIO17.00,NIO20.00,01 jul 2024,Stay
5467547000000338390,006-M1647,Mascarilla Hidroplastica Facial de Olivo Skin White 120g,756,NIO44.00,NIO49.00,01 dic 2025,Mayz
5467547000000342658,S40-1021,Mascarilla Hidroplastica Facial de Pepino Stay,228,NIO57.00,NIO59.00,01 abr 2024,Stay
